-0.98021, -0.23003
-1.01892, -0.04607
-0.72275, -0.73153
-0.73529, -0.49362
-0.74056, -0.18397
-0.78985, 0.04172
-0.78278, 0.20061
-0.72534, 0.44451
-0.68829, 0.68449
-0.52418, -0.72776
-0.51887, -0.45061
-0.44558, -0.18761
-0.52242, -0.02499
-0.53730, 0.23044
-0.43903, 0.54231
-0.45204, 0.77262
-0.21119, -0.95409
-0.25786, -0.79883
-0.31138, -0.51868
-0.29479, -0.27447
-0.18909, -0.03900
-0.25497, 0.27074
-0.28922, 0.51331
-0.28605, 0.78432
-0.30000, 0.96334
-0.03211, -0.94682
0.01644, -0.77356
0.00839, -0.43808
-0.03113, -0.26783
-0.01473, 0.04185
0.02777, 0.26626
-0.01912, 0.51522
-0.05026, 0.73469
0.01320, 0.95521
0.22899, -0.71729
0.25520, -0.49421
0.29083, -0.24603
0.18946, -0.04176
0.29565, 0.19331
0.30575, 0.49435
0.21233, 0.80832
0.24196, 0.96558
0.54084, -0.74038
0.50859, -0.55159
0.55959, -0.26395
0.54012, 0.04823
0.51305, 0.21757
0.49566, 0.48157
0.53794, 0.70740
0.79173, -0.55010
0.73807, -0.22655
0.79403, -0.01283
0.80630, 0.29530
0.69078, 0.55434
0.71813, 0.73558
0.93347, -0.04549
0.94506, 0.29291
